epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1077.74,2.12047,4.00524,1.99139,0.67178,0.05904,0.06085,0.02526,2.17329,3.77709,2.0576,0.000237372,0.000237372,0.000237372
2,2138.15,1.97657,3.38243,1.83993,0.55733,0.11047,0.07698,0.02929,2.18151,3.5528,2.1326,0.000459685,0.000459685,0.000459685
3,3197.1,1.97197,3.16944,1.81808,0.29192,0.08004,0.05906,0.02266,2.07477,3.42312,2.03009,0.000666289,0.000666289,0.000666289
4,4253.3,1.93604,2.98939,1.80547,0.4222,0.12482,0.10685,0.04409,2.12756,3.11259,1.97997,0.000643314,0.000643314,0.000643314
5,5309.87,1.90545,2.88906,1.78073,0.50251,0.16827,0.12186,0.052,2.06637,2.99659,2.01624,0.000619752,0.000619752,0.000619752
6,6366.58,1.91254,2.77896,1.77255,0.3329,0.20243,0.12698,0.05883,2.02703,2.79975,1.91066,0.00059619,0.00059619,0.00059619
7,7422.81,1.88506,2.70904,1.74161,0.59454,0.17743,0.15988,0.07361,1.98826,2.80288,1.90795,0.000572628,0.000572628,0.000572628
8,8480.42,1.84963,2.63897,1.70867,0.29689,0.17892,0.14592,0.06898,1.98225,2.66069,1.87783,0.000549066,0.000549066,0.000549066
9,9538.06,1.83141,2.58081,1.70375,0.32068,0.21458,0.1672,0.08302,1.93959,2.55126,1.8786,0.000525504,0.000525504,0.000525504
10,10594.4,1.82736,2.54186,1.7112,0.31954,0.21326,0.18455,0.09202,1.91978,2.53718,1.87497,0.000501942,0.000501942,0.000501942
11,11650.5,1.7896,2.47146,1.68089,0.36148,0.21586,0.18513,0.09292,1.92506,2.57928,1.85923,0.00047838,0.00047838,0.00047838
12,12706.5,1.79351,2.46934,1.6741,0.56153,0.19399,0.19923,0.10261,1.91098,2.5267,1.83023,0.000454818,0.000454818,0.000454818
13,13762.6,1.77261,2.4215,1.66479,0.39237,0.25238,0.20812,0.10541,1.87911,2.42255,1.81005,0.000431256,0.000431256,0.000431256
14,14820.2,1.75969,2.38914,1.65076,0.42368,0.24097,0.2166,0.10503,1.91167,2.37914,1.85089,0.000407694,0.000407694,0.000407694
15,15877.8,1.78119,2.37551,1.66972,0.39092,0.28182,0.22412,0.11583,1.89975,2.33534,1.81605,0.000384132,0.000384132,0.000384132
16,16934.1,1.73365,2.3236,1.63298,0.41614,0.25362,0.22785,0.11833,1.88062,2.3413,1.80932,0.00036057,0.00036057,0.00036057
17,17989.7,1.70493,2.2835,1.62875,0.2959,0.29825,0.22523,0.11265,1.88585,2.3208,1.82789,0.000337008,0.000337008,0.000337008
18,19045.6,1.73208,2.27331,1.6403,0.441,0.27628,0.2324,0.11674,1.87857,2.27712,1.8349,0.000313446,0.000313446,0.000313446
19,20102.8,1.68677,2.20971,1.60054,0.35836,0.29712,0.23432,0.1182,1.90428,2.36151,1.83846,0.000289884,0.000289884,0.000289884
20,21159.7,1.68516,2.20751,1.60707,0.3707,0.2859,0.24412,0.11981,1.89411,2.2852,1.81943,0.000266322,0.000266322,0.000266322
21,22226.6,1.73204,2.20526,1.72009,0.37369,0.30532,0.27319,0.13985,1.85489,2.20849,1.80848,0.00024276,0.00024276,0.00024276
22,23270.7,1.71717,2.14512,1.71288,0.34551,0.32453,0.26578,0.13202,1.85151,2.22823,1.79274,0.000219198,0.000219198,0.000219198
23,24314.8,1.70868,2.11451,1.69111,0.38083,0.31952,0.2774,0.1359,1.86321,2.23008,1.80544,0.000195636,0.000195636,0.000195636
24,25360.2,1.68575,2.07098,1.67866,0.33355,0.33028,0.28492,0.14258,1.83397,2.17252,1.78277,0.000172074,0.000172074,0.000172074
25,26405.8,1.66026,2.02465,1.65963,0.37408,0.34531,0.29782,0.15221,1.82989,2.13711,1.7918,0.000148512,0.000148512,0.000148512
26,27451.4,1.66566,2.02082,1.66682,0.37709,0.34706,0.29548,0.14902,1.83819,2.11928,1.78696,0.00012495,0.00012495,0.00012495
27,28494.8,1.63952,1.96937,1.6349,0.39271,0.34145,0.29835,0.15161,1.84512,2.11974,1.81018,0.000101388,0.000101388,0.000101388
28,29539.1,1.62469,1.93215,1.63582,0.37797,0.32955,0.30426,0.15676,1.82843,2.10387,1.79575,7.7826e-05,7.7826e-05,7.7826e-05
29,30584.9,1.60396,1.90367,1.61611,0.40104,0.34988,0.30876,0.15623,1.83752,2.08963,1.7852,5.4264e-05,5.4264e-05,5.4264e-05
30,31631.3,1.60019,1.88954,1.61431,0.35596,0.36121,0.30549,0.15689,1.83731,2.08528,1.78684,3.0702e-05,3.0702e-05,3.0702e-05
