epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,114.229,2.16069,3.90762,2.01307,0.67419,0.06977,0.07649,0.0322,2.2733,3.75416,2.1741,0.000237372,0.000237372,0.000237372
2,224.477,2.03814,3.09117,1.90415,0.48544,0.16111,0.06785,0.02891,2.19853,3.33719,2.11484,0.000459685,0.000459685,0.000459685
3,330.947,2.03586,2.96859,1.86652,0.42482,0.12306,0.07179,0.02866,2.19097,3.20177,2.06817,0.000666289,0.000666289,0.000666289
4,435.046,2.0159,2.90527,1.86566,0.44093,0.11895,0.09837,0.04077,2.15765,2.93571,2.05042,0.000643314,0.000643314,0.000643314
5,539.832,1.95649,2.86375,1.83789,0.40955,0.15928,0.11766,0.04882,2.0945,2.84373,2.01379,0.000619752,0.000619752,0.000619752
6,644.148,1.95441,2.73682,1.82909,0.30507,0.18016,0.12429,0.05679,2.01153,2.74163,1.97405,0.00059619,0.00059619,0.00059619
7,748.442,1.92748,2.69487,1.79063,0.54,0.16582,0.14034,0.06963,2.01473,2.88882,1.98887,0.000572628,0.000572628,0.000572628
8,853.353,1.88377,2.61345,1.7521,0.31911,0.2171,0.16094,0.07907,2.03046,2.57929,1.95682,0.000549066,0.000549066,0.000549066
9,956.804,1.85636,2.58394,1.73925,0.34082,0.20769,0.16876,0.08363,1.9744,2.55725,1.93345,0.000525504,0.000525504,0.000525504
10,1060.35,1.84001,2.52467,1.75202,0.32973,0.22078,0.17866,0.08827,1.94997,2.51151,1.93315,0.000501942,0.000501942,0.000501942
11,1164.1,1.81865,2.45665,1.7114,0.33914,0.22655,0.16431,0.07746,2.02277,2.60428,1.92661,0.00047838,0.00047838,0.00047838
12,1268.19,1.82491,2.46724,1.70176,0.39064,0.24925,0.19607,0.09612,1.9484,2.44371,1.8512,0.000454818,0.000454818,0.000454818
13,1372.55,1.78965,2.39422,1.68957,0.38008,0.22953,0.19108,0.0962,1.9034,2.45905,1.84189,0.000431256,0.000431256,0.000431256
14,1477.61,1.78383,2.36236,1.68117,0.37707,0.26452,0.20791,0.09629,1.96728,2.42817,1.86974,0.000407694,0.000407694,0.000407694
15,1581.71,1.80537,2.34614,1.68779,0.42673,0.27705,0.21917,0.10763,1.91938,2.35461,1.85341,0.000384132,0.000384132,0.000384132
16,1686.13,1.75411,2.30579,1.66042,0.37732,0.27465,0.22264,0.11239,1.93821,2.32508,1.8651,0.00036057,0.00036057,0.00036057
17,1790.67,1.72187,2.26271,1.64871,0.26012,0.29061,0.21982,0.10824,1.94263,2.31956,1.87944,0.000337008,0.000337008,0.000337008
18,1894.57,1.73293,2.22129,1.64713,0.29816,0.29863,0.2385,0.11873,1.93784,2.30073,1.87783,0.000313446,0.000313446,0.000313446
19,1998.37,1.69964,2.1832,1.61416,0.32826,0.30264,0.21394,0.10254,1.94,2.38641,1.89001,0.000289884,0.000289884,0.000289884
20,2101.93,1.69664,2.1646,1.62131,0.34297,0.30587,0.25464,0.12277,1.94066,2.24693,1.84852,0.000266322,0.000266322,0.000266322
21,2229.36,1.74527,2.16766,1.73534,0.41726,0.30559,0.26681,0.12794,1.88776,2.20172,1.82054,0.00024276,0.00024276,0.00024276
22,2331.76,1.73545,2.11636,1.72484,0.41718,0.31531,0.27673,0.13466,1.85786,2.17691,1.80574,0.000219198,0.000219198,0.000219198
23,2433.52,1.71843,2.0554,1.70682,0.35305,0.33128,0.28015,0.13535,1.87141,2.16409,1.83153,0.000195636,0.000195636,0.000195636
24,2537.59,1.69609,2.02211,1.68887,0.3627,0.3171,0.28819,0.14087,1.85782,2.12455,1.81112,0.000172074,0.000172074,0.000172074
25,2641.57,1.66512,1.9673,1.67434,0.38037,0.34526,0.30396,0.14627,1.84718,2.08533,1.80788,0.000148512,0.000148512,0.000148512
26,2745.09,1.66284,1.9657,1.67528,0.34899,0.35067,0.30763,0.14678,1.86114,2.09533,1.80037,0.00012495,0.00012495,0.00012495
27,2847.92,1.64379,1.89109,1.64457,0.43215,0.3287,0.32057,0.15717,1.86689,2.08862,1.83265,0.000101388,0.000101388,0.000101388
28,2952.02,1.61401,1.85101,1.63016,0.39604,0.35846,0.31876,0.15631,1.84536,2.05571,1.81323,7.7826e-05,7.7826e-05,7.7826e-05
29,3056.24,1.60494,1.80814,1.61692,0.45946,0.34104,0.3328,0.16322,1.85013,2.03811,1.81084,5.4264e-05,5.4264e-05,5.4264e-05
30,3159.3,1.5923,1.79494,1.61923,0.45207,0.3556,0.33298,0.16177,1.8536,2.02675,1.81378,3.0702e-05,3.0702e-05,3.0702e-05
